G_IDX,G_NAME,G_GENRE,G_COMPANY,G_SERVICE,G_PLATFORM
10873,소울 커넥터,RPG,게임펍,게임펍,모바일
10874,익시온,시뮬레이션,Bulwark Games,Kasedo Games,PC패키지
10875,프로젝트 DW,RPG,넥슨게임즈,넥슨,PC온라인/ 모바일/ PS/ XBOX
10877,문라이더 - 가디언의 역습,액션,조이매셔,닷에뮤,PS/ switch/ PC패키지
7634,신천상비,RPG,게임온스튜디오,게임온스튜디오,PC온라인
7635,트리 오브 어비스,RPG,케이넷피,-,모바일/ 안드로이드
7636,포켓런,레이싱,모바인엔터테인먼트,-,모바일/ 안드로이드
7637,데빌 워,RPG,픽토소프트,-,모바일
7638,9이닝스: 프로야구 2013,스포츠,컴투스,애플 앱스토어,iOS/ 모바일/ 안드로이드
7639,레고 배트맨 2,액션,워너브로스 인터랙티브,인플레이 인터렉티브,PS3/ XBOX360
7640,코덱스,RPG,데브 클랜,네오위즈인터넷,iOS/ 모바일/ 웹브라우저
7641,헬로 크로스워드,퍼즐,올스타모바일,올스타모바일,모바일
7642,런던 2012 -공식 모바일 게임,스포츠,네오위즈인터넷,-,모바일
7643,에너미스팟: 킬러팩,FPS,엑스지오,픽토소프트,모바일
7644,여신전생 페르소나 4 The GOLDEN,RPG,SCE,SCE,PSVITA
7645,피파 온라인 3,스포츠,EA 서울 스튜디오,넥슨,PC온라인
7646,천상의 세계,RPG,쿤룬,-,웹브라우저
7647,올림피아 스포츠,스포츠,인터세이브,-,모바일
7648,좀비 콜렉터,액션,코로프라,네오싸이언,모바일
7649,발더스 게이트: 인핸스드 에디션,RPG,오버홀 게임즈,-,PC패키지/ iOS/ 모바일
7650,아이팡팡,퍼즐,마나포션,마나포션,iOS/ 모바일
7651,대해적시대,RPG,엔타즈,-,모바일
7652,레전드 오브 히어로즈,RPG,인터세이브,-,웹브라우저
7653,월드 오브 워크래프트: 판다리아의 안개,RPG,블리자드 코리아,블리자드 코리아,PC온라인
7654,불리 온라인2,퍼즐,넥스트앱스,네오위즈인터넷,iOS/ 모바일/ 안드로이드
7655,진삼국무쌍: 멀티레이드 2 HD,액션,[삭제]코에이테크모,디지털터치,PS3
7656,크로스카운터,FPS,-,-,모바일
7657,여신전생 페르소나 4 얼티메이트 인 마요나카 아레나,RPG,소니 인터랙티브 엔터테인먼트 코리아,소니 인터랙티브 엔터테인먼트 코리아,PS3
7658,데굴데굴 두두월드,SNG,타오미,톡톡플러스,웹브라우저
7659,한게임 고스톱,시뮬레이션,한게임,-,웹브라우저
7660,댄스 센트럴 3,리듬액션,마이크로소프트,-,XBOX360
7661,킹덤로얄,SNG,컴투스홀딩스,-,모바일
7662,저스티스리그,RPG,넷마블,넷마블,모바일
7663,그린스 테일,RPG,넥슨,넥슨,웹브라우저
7664,맥워리어 온라인,FPS,피라냐 게임즈,-,PC온라인
7665,The War Z,어드벤쳐,햄머포인트 인터렉티브,-,PC온라인
7666,썬더일레븐GO TCG,TCG,손오공,-,기타
7667,신무림대전,RPG,포플랫,넷마블,모바일
7668,암드 히어로즈,RPG,쿤룬코리아,쿤룬코리아,iOS/ 모바일/ 안드로이드
7669,패왕삼국지,시뮬레이션,블루인터렉티브,픽토소프트,웹브라우저
7670,몬스터워로드,RPG,컴투스홀딩스,컴투스홀딩스,모바일
7671,카툰디펜스: 스페이스워즈,RPG,올스타모바일,올스타모바일,iOS/ 모바일
7672,삼국지 영웅호걸,RPG,게임젠,게임젠,모바일
7673,다크소울: 심연의 아르토리우스,RPG,프롬소프트웨어,반다이남코 엔터테인먼트,PC패키지
7674,올림픽 게임 시티,SNG,네오위즈인터넷,-,웹브라우저
7675,후르츠팡팡 2,퍼즐,엔타즈,-,모바일
7676,벅스 디펜스,시뮬레이션,코로프라,네오싸이언,모바일
7677,뿌까 트윙클,퍼즐,플레이노라,조이모아,모바일
7678,보더랜드2,FPS,기어박스 소프트웨어,2K Games,PC패키지/ PS3/ XBOX360
7679,울티마 포에버: 퀘스트 포 더 아바타,RPG,미씩 엔터테인먼트,-,PC온라인/ iOS
7680,다크쉴드,RPG,아이두아이엔씨,-,모바일
7681,웹춘추,시뮬레이션,텐센트,-,웹브라우저
7682,주신전기,RPG,감마니아,-,웹브라우저
7683,콜 오브 갓,RPG,브라우저게임즈,브라우저게임즈,웹브라우저
7684,신비영웅전,RPG,와이제이네트워크,와이제이네트워크,웹브라우저
7685,토이샷 언리미티드,어드벤쳐,앱노리,컴투스홀딩스,모바일
7686,라그나로크 온라인 발키리의 반란,RPG,네오싸이언,-,모바일
7687,골든글러브,스포츠,오렌지크루,한게임,모바일
7688,왕국,RPG,엔터메이트,-,웹브라우저
7689,타이쿤 시티,SNG,다우기술,다우기술,웹브라우저
7690,라인버즐,퍼즐,엔필,NHN Japan,iOS/ 모바일
7691,레전더리 히어로즈,시뮬레이션,마야,옴니텔,모바일
7692,탑걸,시뮬레이션,-,컴투스홀딩스,모바일
7693,던전블록,기타,-,-,모바일
7694,온라인 사천성,기타,-,-,모바일
7695,워너뱃,RPG,비투소프트,-,모바일
7696,카트라이더 러쉬+,레이싱,넥슨,-,모바일
7697,환웅기,RPG,큐브매직,-,웹브라우저
7698,양마을2,RPG,동양온라인,NHN 엔터테인먼트,웹브라우저
7699,로드맨 FT,스포츠,텐트럼,-,iOS
7700,히어로클릭스,보드,위즈키즈,-,기타
7701,몰스월드,기타,초이락게임즈,초이락게임즈,모바일
7702,스펙 옵스: 더 라인,RPG,에이치투 인터렉티브,에이치투 인터렉티브,PC패키지/ PS3/ XBOX360
7703,라쳇앤클랭크트릴로지,RPG,소니 온라인 엔터테인먼트,소니 온라인 엔터테인먼트,PS3
7704,던전파이터 라이브 : 헨돈마이어의 몰락,RPG,네오플,넥슨,XBOX360
7705,스페이스 탱크,시뮬레이션,넥슨,-,iOS
7706,모울하트,액션,컴투스홀딩스,-,모바일
7707,고스트 리콘 퓨쳐 솔저,슈팅,인트라게임즈,인트라게임즈,PC패키지
7708,모바일넷맞고PLUS,보드,디지털프로그,-,모바일
7709,무신천하,RPG,베이징우션디지털,우션코리아,PC온라인
7710,플레잉,RPG,게이밍,-,PC온라인
7711,인디락,리듬액션,타키게임즈,-,모바일
7712,2012 프로야구 KBO 스페셜 에디션,스포츠,컴투스홀딩스,컴투스홀딩스,모바일
7713,LOH,RPG,인터세이브,-,웹브라우저
7714,매직 : 더 개더링 플레인즈워커의 결투2013,TCG,해즈브로코리아,-,PC패키지/ PS3/ XBOX360/ iOS
7715,드래곤 점프,어드벤쳐,픽스코리아,-,iOS
7716,푸싱젤,퍼즐,벨로쉬,플러스 엠엑스,iOS/ 모바일
7718,아쿠아빌리지 더 프렌즈,SNG,바른손크리에이티브,-,모바일
7719,드래곤 플라이트,슈팅,넥스트 플로어,넥스트 플로어,iOS/ 모바일/ 안드로이드
7720,마이 무비스타 : 드림하이,시뮬레이션,블루핑거,픽토소프트,모바일
7721,닷핵 하이브리드 팩,액션,반다이남코 엔터테인먼트,인트라게임즈,PS3
7722,워리어플러스,RPG,파인더스,-,웹브라우저
7723,베이스볼 히어로즈,스포츠,신타지아,-,웹브라우저
7724,클라우드스톤,RPG,넥슨,넥슨,웹브라우저
7725,라그나로크 오디세이,액션,그라비티,SONY,PSVITA
7726,타이니 월드,SNG,네오위즈모바일,-,iOS
7727,테트리스 온라인,퍼즐,테트리스 온라인 주식회사,테트리스 온라인 주식회사,웹브라우저
7728,마이초이스,RPG,셀시티,셀시티,iOS/ 모바일
7729,마린블루스 맞고,보드,세중게임즈,그라비티,모바일
7730,미친433,액션,네시삼십삼분,-,모바일
7731,중철기,FPS,캡콤,-,XBOX360
7732,여신전쟁 페르소나4 The Golden,RPG,ATLUS,SONY,PSVITA
7733,미니미니 액션스쿨,RPG,배이직,-,모바일
7734,치킨레볼루션,액션,컴투스홀딩스,-,모바일
7735,슈퍼콘트라,SNG,코나미,-,모바일/ 웹브라우저
7736,NBA 2K13,RPG,2K Sports,2K Sports,XBOX360/ Wii
7737,저스트 댄스 그레이티스트 히트,리듬액션,인트라게임즈,-,XBOX360
