G_IDX,G_NAME,G_ENAME,G_GENRE,G_COMPANY,G_SERVICE,G_PLATFORM,G_DATE,G_SCORE,G_IMG
33,소울스티스,Soulstice, 액션, Reply Game Studios, Modus Games," PS, XBOX, PC패키지",2022-09-20,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8270479980.jpg
34,디오필드 크로니클,The DioField Chronicle, RPG, 스퀘어에닉스, 스퀘어에닉스," PS, XBOX, switch, PC패키지",2022-09-22,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8261852164.jpg
35,그라운디드,Grounded, 어드벤쳐, 옵시디언, Xbox Game Studios," XBOX, PC패키지",2022-09-27,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8234217678.jpg
36,건담 에볼루션,GUNDAM EVOLUTION, FPS, 반다이남코 엔터테인먼트, 반다이남코 엔터테인먼트," PC온라인, PS, XBOX",2022-09-22,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8247528437.jpg
37,SCP: 시크릿 파일,SCP: Secret Files, 어드벤쳐, 게임쥬 스튜디오, 픽스메인," 인디, PC패키지",2022-09-13,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8264299662.jpg
38,연쇄청소부들,Serial Cleaners, 액션, Draw Distance, 505 게임즈," PS, XBOX, switch, PC패키지",2022-09-23,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8272953608.jpg
39,스플래툰3,Splatoon 3, 슈팅, 닌텐도, 한국닌텐도, switch,2022-09-09,0,https://static.inven.co.kr/column/webzine3/gamelogo/2021/i8247608939.jpg
40,스틸라이징,Steelrising, 액션, 스파이더스 스튜디오, 스파이더스 스튜디오," PS, XBOX, PC패키지",2022-09-08,0,https://static.inven.co.kr/column/webzine3/gamelogo/2020/i8279649589.jpg
41,몬케이지,-, 퍼즐, 옵틸루젼 스튜디오, X.D," 모바일, switch, PC패키지",2021-11-16,0,https://static.inven.co.kr/column/webzine3/gamelogo/2020/i8292905722.jpg
42,메탈: 헬싱어,Metal: Hellsinger, 슈팅, 아웃사이더, 펀콤," PS, XBOX, PC패키지",2022-09-15,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8231772763.png
43,타이니킨,Tinykin, 어드벤쳐, Splashteam, Splashteam," PS, XBOX, switch, PC패키지",2022-08-31,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8297844025.jpg
44,이모탈리티,IMMORTALITY, 시뮬레이션, Sam Barlow, Half Mermaid," XBOX, PC패키지",2022-08-31,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8293407388.jpg
45,세인츠 로우 리부트,Saints Row, 액션, 볼리션, 딥 실버," PS, XBOX, PC패키지",2022-08-23,0,https://static.inven.co.kr/column/webzine3/gamelogo/2021/i15135537880.jpg
46,소울 해커즈2,Soul Hackers2, RPG, 아틀러스, SEGA퍼블리싱코리아," PS, PC패키지",2022-08-25,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8202269860.jpg
47,라스트 오브 어스 파트1,The Last of Us Part 1, RPG, 너티독, 소니 인터랙티브 엔터테인먼트 코리아," PS, PC패키지",2022-09-02,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8256246674.jpg
48,티메시아,Thymesia, 액션, 오버보더 스튜디오, 에이치투 인터렉티브," PS, XBOX, switch, 인디, PC패키지",2022-08-18,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8247934943.jpg
49,토탈워: 워해머3,TOTAL WAR: WARHAMMER3, 시뮬레이션, 크리에이티브 어셈블리, 세가, PC패키지,2022-02-17,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8280192276.jpg
50,컬트 오브 더 램,Cult of the lamb, RPG, 매시브 몬스터, 디볼버 디지털," PS, XBOX, switch, PC패키지", -,0,https://static.inven.co.kr/column/webzine3/gamelogo/2021/i13508304485.jpg
51,룬텔러,Rune Teller, RPG, 코드라이프, 코드라이프," 인디, PC패키지",1905-07-14,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8295950964.jpg
52,로스트 인 플레이,Lost in Play, 어드벤쳐, 해피 쥬스 게임즈, 해피 쥬스 게임즈, PC패키지,2022-08-11,0,https://static.inven.co.kr/column/webzine3/gamelogo/2022/i8298984175.jpg
